==================================================================
THE OFFICIAL BABYLON 5 CHARACTER LIST
Copyright 1994-1996 Astralight Productions
Compiled by Troy A. Rutter (techy@iastate.edu)
Version 3.22
Last Update: 1/10/96
Covers All of the First Season and Pilot: "The Gathering" - "Chrysalis"
Covers All of Second Season: "Points of Departure" - "The Fall of Night"
Covers Third Season:  "Matters of Honor" - "Passing through Gethsemane"
Permission granted for transmission to electronic information and
        retrieval systems but not for publication in any compilation, be it
        written or electronic, or journal without written permission from
        the author.
Additions/Corrections should be sent to techy@iastate.edu
Compiled by Troy A.. Rutter (techy@iastate.edu)
------------------------------------------------------------------

---------------------------LIST by CHARACTER ---------------------

CHARACTER NAME                ACTOR NAME            EPISODES
==================================================================
2nd Lt. David Corwin          Cox, Joshua           47
Abbut                         Costa, Cosie          9
Abel Horn                     Beck, Michael         28
Adira Tyree                   Udenio, Fabiana       3
Agent #1, Special             Cook, David Austin    11
Aide                          Bruton, MaCauley      8
Aide                          Shiveley, Debby       35
Aide, Garibaldi's             Bruton, MaCaulay      6,22,24
Akshi, Gera                   Peterson, Laura       3
Aldous Gajic                  Warner, David         15
Alexander, Lyta               Tallman, Patricia     0,41,48
Alien #1                      Gunther, Mike         7
Alien #1                      Hendrickson, Mark     11
Alien #1                      Anglin, Jennifer      27
Alien #2                      Bradley, Neil         27
Alien Customer                McKenzie, Michael     36
Alisa Beldon                  Una, Grace            17
Allan, Zack                   Conaway, Jeff         28,31,34-36,38,41,44,46,
                                                       48
Alpha Seven                   McCoy, Douglas E.     20
Alvares                       Chaves, Richard       7
Amanda Carter                 Barbeau, Adrienne     28
Ambassador #1                 Ditillio, Robert      9
Ambassador #1                 Chapman, Jonathan     23
Ambassador #2                 Hendrickson, Mark     23
Ambassador #3                 Logan, Kristopher     23
Ambassador Kalika             Curtis, Robin         9
Ambassador, Drazi             Strauss, Kim          44
Ambassador, Markab            Strauss, Kim          27,40
Ambassador, Pak'Ma'Ra         Brown, Donovan        44
Amis                          Schultz, Dwight       27
Anchor #1, News               Golzalez, Steven      48
Anchor #2, News               Blades, Lynn          48
Anchor, News                  Egan, Maggie          22
Andrei Ivanov                 Phalen, Robert        3,14
Ann Cramer, Mary              Healy, Patricia       4,12
Anna Sheridan                 Toussaint, Beth       24
Ari Ben Zayn, Colonel         Martin, Gregory       16
